original,cleaned
Gala-Sp8,Gal-Sp8
Glca-Sp8,Glc-Sp8
Mana-Sp8,Man-Sp8
GalNAca-Sp8,GalNAc-Sp8
GalNAca-Sp15,GalNAc-Sp15
Fuca-Sp8,Fuc-Sp8
Fuca-Sp9,Fuc-Sp9
Rhaa-Sp8,Rha-Sp8
Neu5Aca-Sp8,NeuNAc-Sp8
Neu5Aca-Sp11,NeuNAc-Sp11
Neu5Acb-Sp8,NeuNAc-Sp8
Galb-Sp8,Gal-Sp8
Glcb-Sp8,Glc-Sp8
Manb-Sp8,Man-Sp8
GalNAcb-Sp8,GalNAc-Sp8
GlcNAcb-Sp0,GlcNAc-Sp0
GlcNAcb-Sp8,GlcNAc-Sp8
GlcN(Gc)b-Sp8,GlcNGc-Sp8
Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc-Sp8
Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc-Sp14
GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,GlcNAc(b1-3)[GlcNAc(b1-4)][GlcNAc(b1-6)]GlcNAc-Sp8
6S(3S)Galb1-4(6S)GlcNAcb-Sp0,GalOS(b1-4)GlcNAcOS-Sp0
6S(3S)Galb1-4GlcNAcb-Sp0,GalOS(b1-4)GlcNAc-Sp0
(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,GalOS(b1-4)[Fuc(a1-3)]GlcOS-Sp0
(3S)Galb1-4Glcb-Sp8,GalOS(b1-4)Glc-Sp8
(3S)Galb1-4(6S)Glcb-Sp0,GalOS(b1-4)GlcOS-Sp0
(3S)Galb1-4(6S)Glcb-Sp8,GalOS(b1-4)GlcOS-Sp8
(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,GalOS(b1-3)[Fuc(a1-4)]GlcNAc-Sp8
(3S)Galb1-3GalNAca-Sp8,GalOS(b1-3)GalNAc-Sp8
(3S)Galb1-3GlcNAcb-Sp0,GalOS(b1-3)GlcNAc-Sp0
(3S)Galb1-3GlcNAcb-Sp8,GalOS(b1-3)GlcNAc-Sp8
(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,GalOS(b1-4)[Fuc(a1-3)]GlcNAc-Sp0
(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,GalOS(b1-4)[Fuc(a1-3)]GlcNAc-Sp8
(3S)Galb1-4(6S)GlcNAcb-Sp0,GalOS(b1-4)[Fuc(a1-3)]GlcNAcOS-Sp0
(3S)Galb1-4(6S)GlcNAcb-Sp8,GalOS(b1-4)[Fuc(a1-3)]GlcNAcOS-Sp8
(3S)Galb1-4GlcNAcb-Sp0,GalOS(b1-4)GlcNAc-Sp0
(3S)Galb1-4GlcNAcb-Sp8,GalOS(b1-4)GlcNAc-Sp8
(3S)Galb-Sp8,GalOS-Sp8
(6S)(4S)Galb1-4GlcNAcb-Sp0,GalOS(b1-4)GlcNAc-Sp0
(4S)Galb1-4GlcNAcb-Sp8,GalOS(b1-4)GlcNAc-Sp8
(6P)Mana-Sp8,ManOP-Sp8
(6S)Galb1-4Glcb-Sp0,GalOS(b1-4)Glc-Sp0
(6S)Galb1-4Glcb-Sp8,GalOS(b1-4)Glc-Sp8
(6S)Galb1-4GlcNAcb-Sp8,GalOS(b1-4)GlcNAc-Sp8
(6S)Galb1-4(6S)Glcb-Sp8,GalOS(b1-4)GlcOS-Sp8
Neu5Aca2-3(6S)Galb1-4GlcNAcb-Sp8,NeuNAc(a2-3)GalOS(b1-4)GlcNAc-Sp8
(6S)GlcNAcb-Sp8,GlcNAcOS-Sp8
"Neu5,9Ac2a-Sp8",NeuNAcOAc-Sp8
"Neu5,9Ac2a2-6Galb1-4GlcNAcb-Sp8",NeuNAcOAc(a2-6)Gal(b1-4)GlcNAc-Sp8
Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-Sp12
Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-Sp13
GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-Sp12
GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-Sp13
Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-Sp12
Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-Sp12
Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-Sp13
Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Man-a1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp21,NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-Sp21
Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp24,NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-Sp24
Fuca1-2Galb1-3GalNAcb1-3Gala-Sp9,Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal-Sp9
Fuca1-2Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp9,Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc-Sp9
Fuca1-2Galb1-3(Fuca1-4)GlcNAcb-Sp8,Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc-Sp8
Fuca1-2Galb1-3GalNAca-Sp8,Fuc(a1-2)Gal(b1-3)GalNAc-Sp8
Fuca1-2Galb1-3GalNAca-Sp14,Fuc(a1-2)Gal(b1-3)GalNAc-Sp14
Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[NeuNAc(a2-3)]Gal(b1-4)Glc-Sp0
Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp9,Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[NeuNAc(a2-3)]Gal(b1-4)Glc-Sp9
Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp8,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc-Sp8
Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp10,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc-Sp10
Fuca1-2Galb1-3GlcNAcb-Sp0,Fuc(a1-2)Gal(b1-3)GlcNAc-Sp0
Fuca1-2Galb1-3GlcNAcb-Sp8,Fuc(a1-2)Gal(b1-3)GlcNAc-Sp8
Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc-Sp0
Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc-Sp0
Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp0,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc-Sp0
Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp8,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc-Sp8
Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc-Sp0
Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc-Sp0
Fuca1-2Galb1-4GlcNAcb-Sp0,Fuc(a1-2)Gal(b1-4)GlcNAc-Sp0
Fuca1-2Galb1-4GlcNAcb-Sp8,Fuc(a1-2)Gal(b1-4)GlcNAc-Sp8
Fuca1-2Galb1-4Glcb-Sp0,Fuc(a1-2)Gal(b1-4)Glc-Sp0
Fuca1-2Galb-Sp8,Fuc(a1-2)Gal-Sp8
Fuca1-3GlcNAcb-Sp8,Fuc(a1-3)GlcNAc-Sp8
Fuca1-4GlcNAcb-Sp8,Fuc(a1-4)GlcNAc-Sp8
Fucb1-3GlcNAcb-Sp8,Fuc(b1-3)GlcNAc-Sp8
GalNAca1-3(Fuca1-2)Galb1-3GlcNAcb-Sp0,Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-3)GlcNAc-Sp0
GalNAca1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0,Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-4)[Fuc(a1-3)]GlcNAc-Sp0
(3S)Galb1-4(Fuca1-3)Glcb-Sp0,Fuc(a1-3)[GalOS(b1-4)]Glc-Sp0
GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp0,Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-4)GlcNAc-Sp0
GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp8,Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-4)GlcNAc-Sp8
GalNAca1-3(Fuca1-2)Galb1-4Glcb-Sp0,Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-4)Glc-Sp0
GlcNAcb1-3Galb1-3GalNAca-Sp8,GlcNAc(b1-3)Gal(b1-3)GalNAc-Sp8
GalNAca1-3(Fuca1-2)Galb-Sp8,Fuc(a1-2)[GalNAc(a1-3)]Gal-Sp8
GalNAca1-3(Fuca1-2)Galb-Sp18,Fuc(a1-2)[GalNAc(a1-3)]Gal-Sp18
GalNAca1-3GalNAcb-Sp8,GalNAc(a1-3)GalNAc-Sp8
GalNAca1-3Galb-Sp8,GalNAc(a1-3)Gal-Sp8
GalNAca1-4(Fuca1-2)Galb1-4GlcNAcb-Sp8,Fuc(a1-2)[GalNAc(a1-4)]Gal(b1-4)GlcNAc-Sp8
GalNAcb1-3GalNAca-Sp8,GalNAc(b1-3)GalNAc-Sp8
GalNAcb1-3(Fuca1-2)Galb-Sp8,Fuc(a1-2)[GalNAc(b1-3)]Gal-Sp8
GalNAcb1-3Gala1-4Galb1-4GlcNAcb-Sp0,GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc-Sp0
GalNAcb1-4(Fuca1-3)GlcNAcb-Sp0,Fuc(a1-3)[GalNAc(b1-4)]GlcNAc-Sp0
GalNAcb1-4GlcNAcb-Sp0,GalNAc(b1-4)GlcNAc-Sp0
GalNAcb1-4GlcNAcb-Sp8,GalNAc(b1-4)GlcNAc-Sp8
Gala1-2Galb-Sp8,Gal(a1-2)Gal-Sp8
Gala1-3(Fuca1-2)Galb1-3GlcNAcb-Sp0,Fuc(a1-2)[Gal(a1-3)]Gal(b1-3)GlcNAc-Sp0
Gala1-3(Fuca1-2)Galb1-3GlcNAcb-Sp8,Fuc(a1-2)[Gal(a1-3)]Gal(b1-3)GlcNAc-Sp8
Gala1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0,Fuc(a1-2)[Gal(a1-3)]Gal(b1-4)[Fuc(a1-3)]GlcNAc-Sp0
Gala1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp8,Fuc(a1-2)[Gal(a1-3)]Gal(b1-4)[Fuc(a1-3)]GlcNAc-Sp8
Gala1-3(Fuca1-2)Galb1-4GlcNAc-Sp0,Fuc(a1-2)[Gal(a1-3)]Gal(b1-4)GlcNAc-Sp0
Gala1-3(Fuca1-2)Galb1-4Glcb-Sp0,Fuc(a1-2)[Gal(a1-3)]Gal(b1-4)Glc-Sp0
Gala1-3(Fuca1-2)Galb-Sp8,Fuc(a1-2)[Gal(a1-3)]Gal-Sp8
Gala1-3(Fuca1-2)Galb-Sp18,Fuc(a1-2)[Gal(a1-3)]Gal-Sp18
Gala1-4(Gala1-3)Galb1-4GlcNAcb-Sp8,Gal(a1-3)[Gal(a1-4)]Gal(b1-4)GlcNAc-Sp8
Gala1-3GalNAca-Sp8,Gal(a1-3)GalNAc-Sp8
Gala1-3GalNAca-Sp16,Gal(a1-3)GalNAc-Sp16
Gala1-3GalNAcb-Sp8,Gal(a1-3)GalNAc-Sp8
Gala1-3Galb1-4(Fuca1-3)GlcNAcb-Sp8,Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc-Sp8
Gala1-3Galb1-3GlcNAcb-Sp0,Gal(a1-3)Gal(b1-3)GlcNAc-Sp0
Gala1-3Galb1-4GlcNAcb-Sp8,Gal(a1-3)Gal(b1-4)GlcNAc-Sp8
Gala1-3Galb1-4Glcb-Sp0,Gal(a1-3)Gal(b1-4)Glc-Sp0
Gala1-3Galb1-4Glc-Sp10,Gal(a1-3)Gal(b1-4)Glc-Sp10
Gala1-3Galb-Sp8,Gal(a1-3)Gal-Sp8
Gala1-4(Fuca1-2)Galb1-4GlcNAcb-Sp8,Fuc(a1-2)[Gal(a1-4)]Gal(b1-4)GlcNAc-Sp8
Gala1-4Galb1-4GlcNAcb-Sp0,Gal(a1-4)Gal(b1-4)GlcNAc-Sp0
Gala1-4Galb1-4GlcNAcb-Sp8,Gal(a1-4)Gal(b1-4)GlcNAc-Sp8
Gala1-4Galb1-4Glcb-Sp0,Gal(a1-4)Gal(b1-4)Glc-Sp0
Gala1-4GlcNAcb-Sp8,Gal(a1-4)GlcNAc-Sp8
Gala1-6Glcb-Sp8,Gal(a1-6)Glc-Sp8
Galb1-2Galb-Sp8,Gal(b1-2)Gal-Sp8
Galb1-3(Fuca1-4)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc-Sp0
Galb1-3GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc-Sp0
Galb1-3(Fuca1-4)GlcNAc-Sp0 ,Gal(b1-3)[Fuc(a1-4)]GlcNAc-Sp0
Galb1-3(Fuca1-4)GlcNAc-Sp8 ,Gal(b1-3)[Fuc(a1-4)]GlcNAc-Sp8
Fuca1-4(Galb1-3)GlcNAcb-Sp8,Gal(b1-3)[Fuc(a1-4)]GlcNAc-Sp8
